Ticker,Mean Return (%),Std Dev (%),Min Return (%),Max Return (%),Skewness,Kurtosis,Observations
ANTM,2.08,14.91,-33.14,69.0,0.93,2.56,257
BBCA,2.0,6.72,-14.55,31.91,0.44,1.66,257
BBNI,1.72,12.2,-47.42,81.3,1.47,11.95,257
BBRI,2.16,9.51,-36.11,38.1,0.0,1.82,257
BMRI,1.96,9.42,-41.13,35.91,-0.09,3.1,257
CPIN,3.03,14.09,-52.53,63.08,0.98,3.14,257
INDF,1.55,9.23,-44.39,39.06,0.2,3.77,257
JPFA,7.43,79.91,-32.14,1256.92,15.06,236.05,257
MEDC,1.77,15.33,-51.75,79.86,0.81,3.76,257
MYOR,4.24,15.18,-22.82,108.78,2.65,11.98,257
PGAS,1.73,12.28,-39.45,49.14,0.34,1.73,257
PTRO,3.73,17.54,-43.62,134.88,2.16,12.3,257
